Type,Brand,Model,Benchmark,Model_Type,Tier,Processor_Number,URL
CPU,Intel,Core i9-13900KS,131.0,Core,i9,13900KS,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS
CPU,Intel,Core i9-13900K,129.0,Core,i9,13900K,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129
CPU,Intel,Core i9-13900KF,129.0,Core,i9,13900KF,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF
CPU,Intel,Core i7-13700KF,126.0,Core,i7,13700KF,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,Intel,Core i7-13700K,126.0,Core,i7,13700K,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,Intel,Core i9-13900,124.0,Core,i9,13900,https://cpu.userbenchmark.com/SpeedTest/1977296/13th-Gen-IntelR-CoreTM-i9-13900
CPU,Intel,Core i9-13900F,124.0,Core,i9,13900F,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F
CPU,AMD,Ryzen 9 7950X3D,122.0,Ryzen,Ryzen 9,7950X3D,https://cpu.userbenchmark.com/SpeedTest/2052977/AMD-Ryzen-9-7950X3D-16-Core-Processor
CPU,Intel,Core i5-13600K,122.0,Core,i5,13600K,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134
CPU,Intel,Core i5-13600KF,122.0,Core,i5,13600KF,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF
CPU,Intel,Core i7-13700,121.0,Core,i7,13700,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700
CPU,Intel,Core i7-13700F,121.0,Core,i7,13700F,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F
CPU,Intel,Core i9-12900KS,119.0,Core,i9,12900KS,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,AMD,Ryzen 7 7800X3D,117.0,Ryzen,Ryzen 7,7800X3D,https://cpu.userbenchmark.com/SpeedTest/2081998/AMD-Ryzen-7-7800X3D-8-Core-Processor
CPU,AMD,Ryzen 9 7900X3D,117.0,Ryzen,Ryzen 9,7900X3D,https://cpu.userbenchmark.com/SpeedTest/2053257/AMD-Ryzen-9-7900X3D-12-Core-Processor
CPU,Intel,Core i9-13980HX,117.0,Core,i9,13980HX,https://cpu.userbenchmark.com/SpeedTest/2030055/13th-Gen-IntelR-CoreTM-i9-13980HX
