Type,Brand,Model,Benchmark,GPU_Model_Type,VRAM_Size,GPU_Model_Tier,URL
GPU,Nvidia,RTX 4090,370.0,RTX,,4090,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,Gigabyte,Gigabyte RTX 4090 24GB Gaming OC,370.0,RTX,24GB,4090,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,Asus,Asus RTX 4090 24GB TUF Gaming OC,370.0,RTX,24GB,4090,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,MSI,MSI RTX 4090 24GB Gaming X Trio,370.0,RTX,24GB,4090,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,MSI,MSI RTX 4090 24GB Suprim Liquid X,370.0,RTX,24GB,4090,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,MSI,MSI RTX 4090 24GB Suprim X,370.0,RTX,24GB,4090,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,Nvidia,RTX 4080,290.0,RTX,,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,MSI,MSI RTX 4080 16GB Gaming X Trio,290.0,RTX,16GB,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,Gigabyte,Gigabyte RTX 4080 16GB Gaming OC,290.0,RTX,16GB,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,Zotac,Zotac RTX 4080 16GB AMP Extreme,290.0,RTX,16GB,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,MSI,MSI RTX 4080 16GB Suprim X,290.0,RTX,16GB,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,MSI,MSI RTX 4080 16GB Ventus 3X,290.0,RTX,16GB,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,Asus,Asus RTX 4080 16GB TUF Gaming OC,290.0,RTX,16GB,4080,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,AMD,RX 7900-XTX,256.0,RX,,RX 7900-XTX,https://gpu.userbenchmark.com/AMD-RX-7900-XTX/Rating/4142
GPU,Nvidia,RTX 4070-Ti,240.0,RTX,,RTX 4070-Ti,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,MSI,MSI RTX 4070 Ti 12GB Gaming X Trio,240.0,RTX,12GB,4070 Ti,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,MSI,MSI RTX 4070 Ti 12GB Ventus 3X OC,240.0,RTX,12GB,4070 Ti,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
