Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,WD,Gold 12TB (2017),113.0,12TB,Gold,12TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD,Gold 10TB (2016),107.0,10TB,Gold,10TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD,Gold 6TB (2016) ,101.0,6TB,Gold,6TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD,Gold 8TB (256MB Cache 2017),100.0,8TB,Gold,8TB,,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD,Red Pro 6TB (2015),99.8,6TB,Red Pro,6TB,2015.0,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD,Black 6TB (2016),97.8,6TB,Black,6TB,2016.0,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,HGST,Deskstar NAS 6TB,94.9,6TB,Deskstar NAS,6TB,,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD,Gold 8TB (128MB Cache 2016),94.8,8TB,Gold,8TB,,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD,VelociRaptor 1TB,94.6,1TB,VelociRaptor,1TB,,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,Seagate,Constellation CS 3TB,93.9,3TB,Constellation CS,3TB,,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,WD,"VelociRaptor 2.5"" 500GB",93.2,500GB,"VelociRaptor 2.5""",500GB,,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,WD,Black 4TB (2016),92.4,4TB,Black,4TB,2016.0,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,Seagate,Barracuda 1TB (2016),92.3,1TB,Barracuda,1TB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,Seagate,Barracuda 3TB (2016),92.1,3TB,Barracuda,3TB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,Seagate,Barracuda 2TB (2016),91.6,2TB,Barracuda,2TB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD,Black 6TB (2015),91.6,6TB,Black,6TB,2015.0,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,HGST,Ultrastar He8 Helium 8TB,91.3,8TB,Ultrastar He8 Helium,8TB,,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,HGST,Ultrastar He8 Helium 8TB,91.3,8TB,Ultrastar He8 Helium,8TB,,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD,Gold 4TB (2016),91.1,4TB,Gold,4TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
