Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,WD,Black SN850X NVMe PCIe M.2 4TB,537.0,4TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1919648/WD-BLACK-SN850X-4000GB
SSD,WD,Black SN850X NVMe PCIe M.2 2TB,498.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1907297/WD-BLACK-SN850X-2000GB
SSD,Samsung,990 Pro NVMe PCIe M.2 2TB,486.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1961729/Samsung-SSD-990-PRO-2TB
SSD,WD,Black SN850 NVMe PCIe M.2 2TB,464.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1363185/WD-BLACK-SN850-2TB
SSD,WD,Black SN850X NVMe PCIe M.2 1TB,453.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1913746/WD-BLACK-SN850X-1000GB
SSD,Intel,900P Optane NVMe PCIe 280GB,440.0,280GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,Intel,900P Optane NVMe PCIe 280GB,440.0,280GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,Crucial,P5 Plus NVMe PCIe M.2 2TB,433.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1638983/CT2000P5PSSD8
SSD,Samsung,980 Pro NVMe PCIe M.2 2TB,431.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1454302/Samsung-SSD-980-PRO-2TB
SSD,Intel,905P Optane NVMe PCIe 960GB,429.0,960GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,Intel,900P Optane NVMe PCIe 480GB,429.0,480GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,Intel,900P Optane NVMe PCIe 480GB,429.0,480GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,WD,Black SN850 NVMe PCIe M.2 1TB,426.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1348947/WD-BLACK-SN850-1TB
SSD,Samsung,990 Pro NVMe PCIe M.2 1TB,417.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1971110/Samsung-SSD-990-PRO-1TB
SSD,Crucial,P5 Plus NVMe PCIe M.2 1TB,387.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1627622/CT1000P5PSSD8
SSD,Samsung,980 Pro NVMe PCIe M.2 1TB,386.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB
SSD,WD ,Black SN850 NVMe PCIe M.2 500GB,379.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1366573/WD-BLACK-SN850-500GB
SSD,Gigabyte,Aorus NVMe PCIe M.2 2TB,360.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
